,1,6,0,2,3,5,7,8,9,10,11,13,12,4,14
644, Private, Craft-repair,31,55849, Some-college, Married-civ-spouse, Husband, White, Male,0,0, United-States,45,10,0
645, Self-emp-inc, Prof-specialty,50,195322, Doctorate, Separated, Not-in-family, White, Male,0,0, United-States,40,16,1
646, Local-gov, Adm-clerical,31,402089, HS-grad, Divorced, Unmarried, White, Female,0,0, United-States,40,9,0
647, Private, Craft-repair,71,78277, HS-grad, Married-civ-spouse, Husband, White, Male,0,0, United-States,15,9,0
648, ?, ?,58,158611, HS-grad, Married-civ-spouse, Husband, White, Male,0,0, United-States,50,9,0
649, State-gov, Tech-support,30,169496, Bachelors, Married-civ-spouse, Husband, White, Male,0,0, United-States,40,13,1
650, Private, Other-service,20,130959, Some-college, Never-married, Own-child, White, Male,0,0, United-States,20,10,0
651, Private, Exec-managerial,24,556660, HS-grad, Never-married, Other-relative, White, Male,4101,0, United-States,50,9,0
652, Private, Prof-specialty,35,292472, Doctorate, Married-civ-spouse, Husband, Asian-Pac-Islander, Male,0,0, Taiwan,40,16,1
653, State-gov, Exec-managerial,38,143774, Some-college, Separated, Not-in-family, White, Female,0,0, United-States,45,10,0
654, Private, Machine-op-inspct,27,288341, HS-grad, Never-married, Own-child, White, Female,0,0, United-States,32,9,0
655, State-gov, Adm-clerical,29,71592, Some-college, Never-married, Unmarried, Asian-Pac-Islander, Female,0,0, Philippines,40,10,0
656, ?, ?,70,167358, 9th, Widowed, Unmarried, White, Female,1111,0, United-States,15,5,0
657, Private, Craft-repair,34,106742, HS-grad, Married-civ-spouse, Husband, White, Male,0,0, United-States,45,9,0
658, Private, Craft-repair,44,219288, 7th-8th, Married-civ-spouse, Husband, White, Male,0,0, United-States,35,4,0
659, Private, Machine-op-inspct,43,174524, HS-grad, Married-civ-spouse, Husband, White, Male,0,0, United-States,40,9,1
660, Self-emp-not-inc, Handlers-cleaners,44,335183, 12th, Married-civ-spouse, Husband, Black, Male,0,0, United-States,40,8,1
661, Private, Sales,35,261293, Masters, Never-married, Not-in-family, White, Male,0,0, United-States,60,14,0
662, Private, Prof-specialty,27,111900, Some-college, Never-married, Not-in-family, White, Male,0,0, United-States,40,10,0
663, Local-gov, Prof-specialty,43,194360, Masters, Never-married, Not-in-family, White, Male,0,0, United-States,38,14,0
664, Private, Sales,20,81145, Some-college, Never-married, Not-in-family, White, Female,0,0, United-States,25,10,0
665, Private, Prof-specialty,42,341204, Assoc-acdm, Divorced, Unmarried, White, Female,8614,0, United-States,40,12,1
666, State-gov, Transport-moving,27,249362, Some-college, Married-civ-spouse, Husband, White, Male,3411,0, United-States,40,10,0
667, Private, Craft-repair,42,247019, HS-grad, Married-civ-spouse, Husband, Black, Male,0,0, United-States,40,9,1
668, ?, ?,20,114746, 11th, Married-spouse-absent, Own-child, Asian-Pac-Islander, Female,0,1762, South,40,7,0
669, Private, Machine-op-inspct,24,172146, 9th, Never-married, Not-in-family, White, Male,0,1721, United-States,40,5,0
670, Federal-gov, Exec-managerial,48,110457, Some-college, Divorced, Not-in-family, White, Male,0,0, United-States,40,10,0
671, ?, ?,17,80077, 11th, Never-married, Own-child, White, Female,0,0, United-States,20,7,0
672, Self-emp-not-inc, Farming-fishing,17,368700, 11th, Never-married, Own-child, White, Male,0,0, United-States,10,7,0
673, Private, Exec-managerial,33,182556, Bachelors, Married-civ-spouse, Husband, White, Male,0,0, United-States,40,13,1
674, Self-emp-inc, Sales,50,219420, HS-grad, Married-civ-spouse, Husband, White, Male,0,0, United-States,50,9,1
675, Private, Sales,22,240817, HS-grad, Never-married, Own-child, White, Female,2597,0, United-States,40,9,0
676, Private, Other-service,17,102726, 12th, Never-married, Own-child, White, Male,0,0, United-States,16,8,0
677, Private, Adm-clerical,32,226267, Some-college, Married-civ-spouse, Husband, White, Male,0,0, Mexico,40,10,0
678, Private, Craft-repair,31,125457, HS-grad, Never-married, Not-in-family, White, Male,0,0, United-States,45,9,0
679, Self-emp-not-inc, Exec-managerial,58,204021, HS-grad, Widowed, Not-in-family, White, Male,0,0, United-States,50,9,0
680, Local-gov, Protective-serv,29,92262, HS-grad, Never-married, Own-child, White, Male,0,0, United-States,48,9,0
681, Private, Craft-repair,37,161141, Assoc-voc, Married-civ-spouse, Husband, White, Male,0,0, Portugal,40,11,1
682, Self-emp-not-inc, Craft-repair,34,190290, HS-grad, Married-civ-spouse, Husband, White, Male,0,0, United-States,40,9,1
683, Local-gov, Exec-managerial,23,430828, Some-college, Separated, Unmarried, Black, Male,0,0, United-States,40,10,0
684, State-gov, Adm-clerical,18,59342, 11th, Never-married, Own-child, White, Female,0,0, United-States,5,7,0
685, Private, Exec-managerial,34,136721, HS-grad, Divorced, Not-in-family, White, Female,0,0, United-States,40,9,0
686, ?, ?,66,149422, 7th-8th, Never-married, Not-in-family, White, Male,0,0, United-States,4,4,0
687, Local-gov, Prof-specialty,45,86644, Bachelors, Married-civ-spouse, Wife, White, Female,0,0, United-States,55,13,0
688, Private, Exec-managerial,41,195124, Masters, Never-married, Not-in-family, White, Male,0,0, Dominican-Republic,35,14,0
689, Private, Other-service,26,167350, HS-grad, Never-married, Other-relative, White, Male,0,0, United-States,30,9,0
690, Local-gov, Farming-fishing,54,113000, Some-college, Married-civ-spouse, Husband, White, Male,0,0, United-States,40,10,0
691, Private, Machine-op-inspct,24,140027, Some-college, Never-married, Own-child, Black, Female,0,0, United-States,45,10,0
692, Private, Prof-specialty,42,262425, Some-college, Married-civ-spouse, Husband, White, Male,0,0, United-States,50,10,0
693, Private, Prof-specialty,20,316702, Some-college, Never-married, Own-child, White, Male,0,0, United-States,20,10,0
694, State-gov, Tech-support,23,335453, Bachelors, Never-married, Not-in-family, White, Female,0,0, United-States,20,13,0
695, ?, ?,25,202480, Assoc-acdm, Never-married, Other-relative, White, Male,0,0, United-States,45,12,0
696, Private, Prof-specialty,35,203628, Masters, Never-married, Not-in-family, White, Male,0,0, United-States,60,14,1
697, Private, Tech-support,31,118710, Masters, Married-civ-spouse, Husband, White, Male,0,1902, United-States,40,14,1
698, Private, Prof-specialty,30,189620, Bachelors, Never-married, Own-child, White, Female,0,0, Poland,40,13,0
699, Private, Sales,19,475028, HS-grad, Never-married, Own-child, White, Female,0,0, United-States,20,9,0
700, Local-gov, Prof-specialty,36,110866, Bachelors, Never-married, Not-in-family, White, Male,0,0, United-States,50,13,0
701, Private, Sales,31,243605, Bachelors, Widowed, Unmarried, White, Female,0,1380, Cuba,40,13,0
702, Private, Handlers-cleaners,21,163870, Some-college, Never-married, Own-child, White, Male,0,0, United-States,30,10,0
703, Self-emp-not-inc, Craft-repair,31,80145, Some-college, Married-civ-spouse, Husband, White, Male,0,0, United-States,40,10,0
704, Private, Prof-specialty,46,295566, Doctorate, Divorced, Unmarried, White, Female,25236,0, United-States,65,16,1
705, Private, Exec-managerial,44,63042, Bachelors, Divorced, Own-child, White, Female,0,0, United-States,50,13,1
706, Private, Other-service,40,229148, 12th, Married-civ-spouse, Husband, Black, Male,0,0, Jamaica,40,8,0
707, Private, Sales,45,242552, Some-college, Never-married, Not-in-family, Black, Male,0,0, United-States,40,10,0
708, Private, Craft-repair,60,177665, HS-grad, Married-civ-spouse, Husband, White, Male,0,0, United-States,35,9,0
709, Private, Other-service,18,208103, 11th, Never-married, Other-relative, White, Male,0,0, United-States,25,7,0
710, Private, Prof-specialty,28,296450, Bachelors, Married-civ-spouse, Husband, White, Male,0,0, United-States,40,13,0
711, Private, Adm-clerical,36,70282, Some-college, Divorced, Unmarried, Black, Female,0,0, United-States,40,10,0
712, Private, Prof-specialty,36,271767, Bachelors, Separated, Not-in-family, White, Male,0,0, ?,40,13,0
713, Private, Tech-support,40,144995, Assoc-voc, Married-civ-spouse, Husband, White, Male,4386,0, United-States,40,11,0
714, Local-gov, Adm-clerical,36,382635, Bachelors, Divorced, Unmarried, White, Female,0,0, Honduras,35,13,0
715, Private, Other-service,31,295697, HS-grad, Separated, Unmarried, Black, Female,0,0, United-States,40,9,0
716, Private, Machine-op-inspct,33,194141, HS-grad, Married-civ-spouse, Husband, White, Male,0,0, United-States,40,9,0
717, State-gov, Tech-support,19,378418, HS-grad, Never-married, Own-child, White, Female,0,0, United-States,40,9,0
718, Private, Sales,22,214399, Some-college, Never-married, Own-child, White, Female,0,0, United-States,15,10,0
719, Private, Exec-managerial,34,217460, Bachelors, Married-civ-spouse, Husband, White, Male,0,0, United-States,45,13,1
720, Private, Other-service,33,182556, HS-grad, Never-married, Not-in-family, White, Male,0,0, United-States,40,9,0
721, Private, Craft-repair,41,125831, HS-grad, Married-civ-spouse, Husband, White, Male,0,2051, United-States,60,9,0
722, Private, Prof-specialty,29,271328, Bachelors, Never-married, Not-in-family, White, Male,4650,0, United-States,40,13,0
723, Local-gov, Exec-managerial,50,50459, HS-grad, Married-civ-spouse, Husband, White, Male,0,0, United-States,42,9,1
724, Private, Exec-managerial,42,162140, Bachelors, Married-civ-spouse, Husband, White, Male,7298,0, United-States,45,13,1
725, Private, Prof-specialty,43,177937, Bachelors, Never-married, Not-in-family, White, Male,0,0, ?,40,13,1
726, Private, Sales,44,111502, HS-grad, Married-civ-spouse, Wife, White, Female,0,0, United-States,40,9,0
727, Private, Other-service,20,299047, Some-college, Never-married, Not-in-family, White, Female,0,0, United-States,20,10,0
728, Private, Other-service,31,223212, HS-grad, Married-civ-spouse, Husband, White, Male,0,0, Mexico,40,9,0
729, Self-emp-not-inc, Exec-managerial,65,118474, 11th, Married-civ-spouse, Husband, White, Male,9386,0, ?,59,7,1
730, Private, Other-service,23,352139, Some-college, Never-married, Not-in-family, White, Female,0,0, United-States,24,10,0
731, Private, Adm-clerical,55,173093, Some-college, Divorced, Not-in-family, Asian-Pac-Islander, Female,0,0, United-States,40,10,0
732, Private, Adm-clerical,26,181655, Assoc-voc, Married-civ-spouse, Husband, White, Male,0,2377, United-States,45,11,0
733, Private, Other-service,25,332702, Assoc-voc, Never-married, Own-child, White, Female,0,0, United-States,15,11,0
734, ?, ?,45,51164, Some-college, Married-civ-spouse, Wife, Black, Female,0,0, United-States,40,10,0
735, Private, Craft-repair,35,234901, Some-college, Married-civ-spouse, Husband, White, Male,2407,0, United-States,40,10,0
736, Private, Sales,36,131414, Some-college, Never-married, Not-in-family, Black, Female,0,0, United-States,36,10,0
737, State-gov, Prof-specialty,43,260960, Bachelors, Married-civ-spouse, Husband, White, Male,0,0, United-States,50,13,0
738, Private, Other-service,56,156052, HS-grad, Widowed, Unmarried, Black, Female,594,0, United-States,20,9,0
739, Private, Tech-support,42,279914, Bachelors, Married-civ-spouse, Husband, White, Male,0,0, United-States,40,13,1
740, Private, Other-service,19,192453, Some-college, Never-married, Other-relative, White, Female,0,0, United-States,25,10,0
741, Self-emp-not-inc, Transport-moving,55,200939, HS-grad, Married-civ-spouse, Husband, White, Male,0,0, United-States,72,9,0
742, Private, Exec-managerial,42,151408, Masters, Never-married, Not-in-family, White, Female,14084,0, United-States,50,14,1
743, Private, Tech-support,26,112847, Assoc-voc, Never-married, Own-child, White, Male,0,0, United-States,40,11,0
744, Private, Handlers-cleaners,17,316929, 12th, Never-married, Own-child, White, Male,0,0, United-States,20,8,0
745, Local-gov, Prof-specialty,42,126319, Bachelors, Married-civ-spouse, Wife, White, Female,0,0, United-States,40,13,1
746, Private, Transport-moving,55,197422, HS-grad, Married-civ-spouse, Husband, White, Male,7688,0, United-States,40,9,1
747, Private, Adm-clerical,32,267736, Some-college, Never-married, Own-child, Black, Female,0,0, United-States,40,10,0
748, Private, Craft-repair,29,267034, 11th, Never-married, Own-child, Black, Male,0,0, Haiti,40,7,0
749, State-gov, Prof-specialty,46,193047, Bachelors, Married-civ-spouse, Husband, White, Male,0,0, United-States,37,13,0
750, State-gov, Exec-managerial,29,356089, Bachelors, Married-civ-spouse, Husband, White, Male,7688,0, United-States,40,13,1
751, Private, Prof-specialty,22,223515, Bachelors, Never-married, Unmarried, White, Male,0,0, United-States,20,13,0
752, Self-emp-not-inc, Craft-repair,58,87510, 10th, Married-civ-spouse, Husband, White, Male,0,0, United-States,40,6,0
753, Private, Transport-moving,23,145111, HS-grad, Never-married, Unmarried, White, Male,0,0, United-States,50,9,0
754, Private, Handlers-cleaners,39,48093, HS-grad, Never-married, Not-in-family, White, Male,0,0, United-States,40,9,0
755, Private, Craft-repair,27,31757, Assoc-voc, Never-married, Own-child, White, Male,0,0, United-States,38,11,0
756, Private, Transport-moving,54,285854, HS-grad, Married-civ-spouse, Husband, White, Male,0,0, United-States,40,9,1
757, Local-gov, Prof-specialty,33,120064, Bachelors, Never-married, Not-in-family, White, Female,0,0, United-States,45,13,0
758, Federal-gov, Adm-clerical,46,167381, HS-grad, Married-civ-spouse, Wife, White, Female,0,0, United-States,40,9,1
759, Private, Farming-fishing,37,103408, HS-grad, Never-married, Not-in-family, Black, Male,0,0, United-States,40,9,0
760, Private, Other-service,36,101460, HS-grad, Never-married, Not-in-family, White, Female,0,0, United-States,18,9,0
761, Local-gov, Adm-clerical,59,420537, HS-grad, Married-civ-spouse, Wife, White, Female,0,0, United-States,38,9,1
762, Local-gov, Protective-serv,34,119411, HS-grad, Divorced, Unmarried, White, Male,0,0, Portugal,40,9,0
763, Self-emp-inc, Exec-managerial,53,128272, Doctorate, Married-civ-spouse, Husband, White, Male,0,0, United-States,70,16,1
764, Private, Sales,51,386773, Bachelors, Never-married, Not-in-family, White, Male,0,0, United-States,55,13,1
765, Private, Other-service,32,283268, 10th, Separated, Unmarried, White, Female,0,0, United-States,42,6,0
766, State-gov, Other-service,31,301526, Some-college, Married-spouse-absent, Other-relative, White, Male,0,0, United-States,40,10,0
767, Private, Sales,22,151790, Some-college, Married-civ-spouse, Wife, White, Female,0,0, Germany,30,10,0
768, Self-emp-not-inc, Sales,47,106252, Bachelors, Divorced, Not-in-family, White, Female,0,0, United-States,50,13,0
769, Private, Machine-op-inspct,32,188557, HS-grad, Never-married, Not-in-family, White, Male,0,0, United-States,40,9,0
770, Private, Farming-fishing,26,171114, Some-college, Never-married, Not-in-family, White, Female,0,0, United-States,38,10,0
771, Private, Farming-fishing,37,327323, 5th-6th, Separated, Not-in-family, White, Male,0,0, Guatemala,32,3,0
772, Private, Craft-repair,31,244147, HS-grad, Divorced, Unmarried, White, Male,0,0, United-States,55,9,0
773, Private, Tech-support,37,280282, Assoc-voc, Married-civ-spouse, Wife, White, Female,0,0, United-States,24,11,1
774, Private, Sales,55,116442, HS-grad, Never-married, Not-in-family, White, Male,0,0, United-States,38,9,0
775, Local-gov, Tech-support,23,282579, Assoc-voc, Divorced, Not-in-family, White, Male,0,0, United-States,56,11,0
776, Private, Adm-clerical,36,51838, Some-college, Divorced, Unmarried, White, Female,0,0, United-States,40,10,0
777, Private, Prof-specialty,34,73585, Masters, Married-civ-spouse, Husband, White, Male,0,0, ?,40,14,0
778, Private, Sales,43,226902, Bachelors, Married-civ-spouse, Husband, White, Male,0,0, United-States,50,13,1
779, Private, Tech-support,54,279129, Some-college, Never-married, Not-in-family, White, Male,0,0, United-States,40,10,0
780, State-gov, Craft-repair,43,146908, Some-college, Married-civ-spouse, Husband, White, Male,0,0, ?,40,10,0
781, Private, Machine-op-inspct,28,196690, Assoc-voc, Never-married, Not-in-family, White, Female,0,1669, United-States,42,11,0
782, Private, Exec-managerial,40,130760, Assoc-voc, Married-civ-spouse, Husband, White, Male,0,0, United-States,50,11,1
783, Self-emp-not-inc, Exec-managerial,41,49572, Some-college, Married-civ-spouse, Husband, White, Male,0,0, United-States,60,10,0
784, Private, Sales,40,237601, Bachelors, Never-married, Not-in-family, Other, Female,0,0, United-States,55,13,1
785, Private, Adm-clerical,42,169628, Some-college, Divorced, Not-in-family, Black, Female,0,0, United-States,38,10,0
786, Self-emp-not-inc, Farming-fishing,61,36671, HS-grad, Married-civ-spouse, Husband, White, Male,0,2352, United-States,50,9,0
787, Private, Machine-op-inspct,18,231193, 12th, Never-married, Own-child, White, Male,0,0, United-States,30,8,0
788, ?, ?,59,192130, HS-grad, Married-civ-spouse, Husband, White, Male,0,0, United-States,16,9,0
789, ?, ?,21,149704, HS-grad, Never-married, Not-in-family, White, Female,1055,0, United-States,40,9,0
790, Private, Tech-support,48,102102, Assoc-voc, Married-civ-spouse, Husband, White, Male,0,0, United-States,50,11,1
791, Self-emp-inc, Tech-support,41,32185, Bachelors, Married-civ-spouse, Husband, White, Male,0,0, United-States,40,13,0
792, ?, ?,18,196061, Some-college, Never-married, Own-child, White, Male,0,0, United-States,33,10,0
793, Private, Sales,23,211046, HS-grad, Never-married, Not-in-family, White, Female,2463,0, United-States,40,9,0
794, Private, Transport-moving,60,31577, HS-grad, Married-civ-spouse, Husband, White, Male,0,0, United-States,60,9,1
795, Private, Other-service,22,162343, Some-college, Never-married, Other-relative, Black, Male,0,0, United-States,20,10,0
796, Private, Machine-op-inspct,61,128831, HS-grad, Married-civ-spouse, Husband, White, Male,0,0, United-States,40,9,0
797, Private, Machine-op-inspct,25,316688, HS-grad, Never-married, Not-in-family, Black, Male,0,0, United-States,40,9,0
798, Private, Tech-support,46,90758, Masters, Never-married, Not-in-family, White, Male,0,0, United-States,35,14,1
799, Private, Exec-managerial,43,274363, Bachelors, Married-civ-spouse, Husband, White, Male,0,1902, England,40,13,1
800, Private, Craft-repair,43,154538, Assoc-acdm, Divorced, Not-in-family, White, Male,0,0, United-States,40,12,0
801, Private, Other-service,24,106085, HS-grad, Never-married, Own-child, Black, Male,0,1721, United-States,30,9,0
802, Self-emp-not-inc, Farming-fishing,68,315859, 11th, Never-married, Unmarried, White, Male,0,0, United-States,20,7,0
803, Private, Adm-clerical,31,51471, HS-grad, Divorced, Unmarried, White, Female,0,0, United-States,38,9,0
804, Private, Sales,17,193830, 11th, Never-married, Own-child, White, Female,0,0, United-States,20,7,0
805, Private, Craft-repair,32,231043, HS-grad, Married-civ-spouse, Husband, White, Male,5178,0, United-States,48,9,1
806, ?, ?,50,23780, Masters, Married-spouse-absent, Other-relative, White, Male,0,0, United-States,40,14,0
807, Private, Prof-specialty,33,169879, Bachelors, Married-civ-spouse, Husband, White, Male,3103,0, United-States,47,13,1
808, Private, Prof-specialty,64,270333, Bachelors, Married-civ-spouse, Husband, White, Male,0,0, United-States,40,13,1
809, Private, Transport-moving,20,138768, HS-grad, Never-married, Own-child, White, Male,0,0, United-States,30,9,0
810, Private, Other-service,30,191571, HS-grad, Separated, Own-child, White, Female,0,0, United-States,36,9,0
811, ?, ?,22,219941, Some-college, Never-married, Own-child, Black, Male,0,0, United-States,40,10,0
812, Private, Exec-managerial,43,94113, Some-college, Divorced, Not-in-family, White, Male,0,0, United-States,45,10,0
813, Private, Adm-clerical,22,137510, Some-college, Never-married, Own-child, White, Male,0,0, United-States,40,10,0
814, Private, Farming-fishing,17,32607, 10th, Never-married, Own-child, White, Male,0,0, United-States,20,6,0
815, Self-emp-not-inc, Other-service,47,93208, HS-grad, Married-civ-spouse, Wife, White, Female,0,0, Italy,75,9,0
816, Private, Prof-specialty,41,254440, Assoc-voc, Never-married, Not-in-family, White, Female,0,0, United-States,60,11,0
817, Private, Craft-repair,56,186556, Some-college, Married-civ-spouse, Husband, White, Male,0,0, United-States,50,10,1
818, Private, Transport-moving,64,169871, HS-grad, Married-civ-spouse, Husband, White, Male,0,0, United-States,45,9,0
819, Private, Transport-moving,47,191277, HS-grad, Married-civ-spouse, Husband, White, Male,0,0, United-States,50,9,1
820, Private, Adm-clerical,48,167159, Assoc-voc, Never-married, Unmarried, White, Male,0,0, United-States,40,11,0
821, Private, Prof-specialty,31,171871, Masters, Never-married, Not-in-family, White, Female,0,0, United-States,46,14,0
822, Private, Tech-support,29,154411, Assoc-voc, Never-married, Own-child, White, Male,0,0, United-States,40,11,0
823, Private, Adm-clerical,30,129227, HS-grad, Widowed, Not-in-family, White, Female,0,0, United-States,40,9,0
824, Private, Exec-managerial,32,110331, HS-grad, Married-civ-spouse, Husband, White, Male,0,1672, United-States,60,9,0
825, Private, Transport-moving,57,34269, HS-grad, Widowed, Unmarried, White, Male,0,653, United-States,42,9,1
826, Private, Other-service,62,174355, HS-grad, Widowed, Not-in-family, White, Female,0,0, United-States,40,9,0
827, Private, Machine-op-inspct,39,680390, HS-grad, Separated, Unmarried, White, Female,0,0, United-States,24,9,0
828, Private, Adm-clerical,43,233130, Some-college, Never-married, Not-in-family, White, Male,0,0, United-States,25,10,0
829, Self-emp-inc, Sales,24,165474, Bachelors, Never-married, Own-child, White, Male,0,0, United-States,40,13,0
830, ?, ?,42,257780, 11th, Married-civ-spouse, Husband, White, Male,0,0, United-States,15,7,0
831, Private, Adm-clerical,53,194259, Some-college, Married-civ-spouse, Wife, White, Female,4386,0, United-States,40,10,1
832, Private, Handlers-cleaners,26,280093, Some-college, Never-married, Own-child, White, Male,0,0, United-States,40,10,0
833, Self-emp-not-inc, Exec-managerial,73,177387, HS-grad, Married-civ-spouse, Husband, White, Male,0,0, United-States,40,9,0
834, ?, ?,72,28929, 11th, Widowed, Not-in-family, White, Female,0,0, United-States,24,7,0
835, Private, Machine-op-inspct,55,105304, HS-grad, Married-civ-spouse, Husband, White, Male,0,0, United-States,40,9,0
836, Private, Adm-clerical,25,499233, HS-grad, Divorced, Not-in-family, White, Male,0,0, United-States,40,9,0
837, Private, Prof-specialty,41,180572, Bachelors, Divorced, Not-in-family, White, Female,0,0, United-States,50,13,1
838, Private, Exec-managerial,24,321435, Bachelors, Never-married, Not-in-family, White, Male,0,0, United-States,50,13,0
839, Private, Farming-fishing,63,86108, HS-grad, Widowed, Not-in-family, White, Male,0,0, United-States,6,9,0
840, Private, Sales,17,198124, 11th, Never-married, Own-child, White, Male,0,0, United-States,20,7,0
841, Private, Craft-repair,35,135162, Some-college, Married-civ-spouse, Husband, White, Male,0,0, United-States,50,10,0
842, Private, Prof-specialty,51,146813, Some-college, Married-civ-spouse, Husband, White, Male,0,0, United-States,40,10,1
843, Local-gov, Prof-specialty,62,291175, Bachelors, Widowed, Not-in-family, White, Female,0,0, United-States,48,13,0
844, Private, Craft-repair,55,387569, HS-grad, Married-civ-spouse, Husband, White, Male,4386,0, United-States,40,9,1
845, Private, Prof-specialty,43,102895, Some-college, Divorced, Not-in-family, White, Male,0,0, United-States,40,10,0
846, Local-gov, Other-service,40,33274, HS-grad, Divorced, Not-in-family, White, Female,0,0, United-States,50,9,0
847, Private, Exec-managerial,37,86551, Bachelors, Married-civ-spouse, Husband, White, Male,0,0, United-States,45,13,1
848, Private, Craft-repair,39,138192, Bachelors, Married-civ-spouse, Husband, White, Male,0,0, United-States,40,13,0
849, Private, Craft-repair,31,118966, HS-grad, Never-married, Own-child, White, Male,0,0, United-States,18,9,0
850, Private, Prof-specialty,61,99784, Masters, Widowed, Not-in-family, White, Female,0,0, United-States,40,14,1
851, Private, Adm-clerical,26,90980, Assoc-voc, Divorced, Not-in-family, White, Female,0,0, United-States,55,11,0
852, Self-emp-not-inc, Sales,46,177407, HS-grad, Married-civ-spouse, Husband, White, Male,0,0, United-States,50,9,0
853, Private, Prof-specialty,26,96467, Bachelors, Never-married, Not-in-family, White, Female,0,0, United-States,40,13,0
854, State-gov, Prof-specialty,48,327886, Doctorate, Divorced, Own-child, White, Male,0,0, United-States,50,16,1
855, Private, Transport-moving,34,111567, HS-grad, Never-married, Own-child, White, Male,0,0, United-States,40,9,0
856, Local-gov, Adm-clerical,34,166545, HS-grad, Never-married, Own-child, White, Female,0,0, United-States,40,9,0
857, Private, Other-service,59,142182, HS-grad, Married-civ-spouse, Husband, White, Male,0,0, United-States,40,9,1
858, Private, Prof-specialty,34,188798, Bachelors, Never-married, Own-child, White, Female,0,0, United-States,40,13,0
859, Private, Exec-managerial,49,38563, Bachelors, Never-married, Not-in-family, White, Female,0,0, United-States,56,13,1
860, Private, Adm-clerical,18,216284, 11th, Never-married, Own-child, White, Female,0,0, United-States,20,7,0
861, Private, Farming-fishing,43,191547, HS-grad, Married-civ-spouse, Husband, White, Male,0,0, Mexico,40,9,0
862, Private, Exec-managerial,48,285335, 11th, Married-civ-spouse, Husband, White, Male,0,0, United-States,50,7,0
863, Self-emp-inc, Exec-managerial,28,142712, Some-college, Married-civ-spouse, Husband, White, Male,0,0, United-States,70,10,0
864, Private, Machine-op-inspct,33,80945, HS-grad, Married-civ-spouse, Husband, White, Male,0,0, United-States,40,9,0
865, Private, Sales,24,309055, Some-college, Never-married, Not-in-family, White, Female,0,0, United-States,15,10,0
866, Private, Handlers-cleaners,21,62339, 10th, Never-married, Not-in-family, White, Male,0,0, United-States,40,6,0
867, Private, Sales,17,368700, 11th, Never-married, Own-child, White, Male,0,0, United-States,28,7,0
868, Private, Farming-fishing,39,176186, Some-college, Married-civ-spouse, Husband, White, Male,0,0, United-States,50,10,1
869, Self-emp-not-inc, Prof-specialty,29,266855, Bachelors, Separated, Own-child, White, Male,0,0, United-States,40,13,0
870, Private, Exec-managerial,44,48087, Bachelors, Married-civ-spouse, Husband, White, Male,0,0, United-States,40,13,1
871, Private, Transport-moving,24,121313, Some-college, Never-married, Own-child, White, Male,0,0, United-States,50,10,0
872, Self-emp-not-inc, Sales,71,143437, Masters, Married-civ-spouse, Husband, White, Male,10605,0, United-States,40,14,1
873, Self-emp-not-inc, Sales,51,160724, Bachelors, Married-civ-spouse, Husband, Asian-Pac-Islander, Male,0,2415, China,40,13,1
874, Private, Other-service,55,282753, 5th-6th, Divorced, Unmarried, Black, Male,0,0, United-States,25,3,0
875, Private, Exec-managerial,41,194636, Bachelors, Married-civ-spouse, Husband, White, Male,0,0, United-States,60,13,1
876, Private, Handlers-cleaners,23,153044, HS-grad, Never-married, Unmarried, Black, Female,0,0, United-States,7,9,0
877, Private, Adm-clerical,38,411797, Assoc-voc, Divorced, Unmarried, White, Female,0,0, United-States,40,11,0
878, Private, Transport-moving,39,117683, HS-grad, Married-civ-spouse, Husband, White, Male,0,0, United-States,40,9,1
879, Private, Adm-clerical,19,376540, HS-grad, Never-married, Not-in-family, White, Female,0,0, United-States,30,9,0
880, Private, Machine-op-inspct,49,72393, 9th, Divorced, Not-in-family, White, Female,0,0, United-States,40,5,0
881, Private, Adm-clerical,32,270335, Bachelors, Married-civ-spouse, Other-relative, White, Male,0,0, Philippines,40,13,1
882, Private, Craft-repair,27,96226, HS-grad, Married-civ-spouse, Husband, White, Male,0,0, United-States,70,9,0
883, Private, Sales,38,95336, Bachelors, Married-civ-spouse, Husband, White, Male,0,0, United-States,50,13,1
884, Private, Craft-repair,33,258498, Some-college, Married-civ-spouse, Wife, White, Female,0,0, United-States,60,10,0
885, ?, ?,63,149698, Some-college, Married-civ-spouse, Husband, White, Male,0,0, United-States,15,10,0
886, Private, Exec-managerial,23,205865, Bachelors, Never-married, Own-child, White, Male,0,0, United-States,28,13,0
887, Self-emp-inc, Craft-repair,33,155781, Some-college, Married-civ-spouse, Husband, White, Male,0,0, ?,60,10,0
888, Self-emp-not-inc, Sales,54,406468, HS-grad, Married-civ-spouse, Husband, Black, Male,0,0, United-States,40,9,0
889, Private, Tech-support,29,177119, Assoc-voc, Divorced, Not-in-family, White, Female,2174,0, United-States,45,11,0
890, ?, ?,48,144397, Some-college, Divorced, Unmarried, Black, Female,0,0, United-States,30,10,0
891, Self-emp-not-inc, Exec-managerial,35,372525, Bachelors, Never-married, Not-in-family, White, Male,0,0, United-States,40,13,0
892, Private, Adm-clerical,28,164170, Assoc-voc, Married-civ-spouse, Wife, Asian-Pac-Islander, Female,0,0, India,40,11,0
893, Private, Prof-specialty,37,183800, Bachelors, Married-civ-spouse, Husband, White, Male,7688,0, United-States,50,13,1
894, Self-emp-not-inc, Farming-fishing,42,177307, Prof-school, Married-civ-spouse, Husband, White, Male,0,0, United-States,65,15,1
